"table_schema","table_name","ordinal_position","column_name","data_type","udt_schema","udt_name","is_nullable","column_default","character_maximum_length","numeric_precision","numeric_scale","datetime_precision","is_identity","identity_generation","is_generated","generation_expression"
"public","contracts",1,"id","uuid","pg_catalog","uuid","NO","gen_random_uuid()",,,,,"NO",,"NEVER",
"public","contracts",2,"tenant_id","uuid","pg_catalog","uuid","NO",,,,,,"NO",,"NEVER",
"public","contracts",3,"unit_id","uuid","pg_catalog","uuid","NO",,,,,,"NO",,"NEVER",
"public","contracts",4,"buyer_name","text","pg_catalog","text","NO",,,,,,"NO",,"NEVER",
"public","contracts",5,"buyer_phone","text","pg_catalog","text","NO",,,,,,"NO",,"NEVER",
"public","contracts",6,"total_volume_sar","numeric","pg_catalog","numeric","NO",,,12,2,,"NO",,"NEVER",
"public","contracts",7,"signed_at","timestamp with time zone","pg_catalog","timestamptz","YES",,,,,6,"NO",,"NEVER",
"public","contracts",8,"end_date","timestamp with time zone","pg_catalog","timestamptz","YES",,,,,6,"NO",,"NEVER",
"public","contracts",9,"status","text","pg_catalog","text","NO","'PENDING_SIGNATURE'::text",,,,,"NO",,"NEVER",
"public","contracts",10,"created_at","timestamp with time zone","pg_catalog","timestamptz","NO","CURRENT_TIMESTAMP",,,,6,"NO",,"NEVER",
"public","contracts",11,"vat_type","text","pg_catalog","text","NO","'STANDARD'::character varying",,,,,"NO",,"NEVER",
"public","contracts",12,"vat_rate","numeric","pg_catalog","numeric","NO","15.00",,5,2,,"NO",,"NEVER",
"public","contracts",13,"buyer_phone_hash","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","contracts",14,"lead_id","uuid","pg_catalog","uuid","YES",,,,,,"NO",,"NEVER",
"public","contracts",15,"offer_id","uuid","pg_catalog","uuid","YES",,,,,,"NO",,"NEVER",
"public","contracts",16,"accepted_at","timestamp with time zone","pg_catalog","timestamptz","NO","CURRENT_TIMESTAMP",,,,6,"NO",,"NEVER",
"public","contracts",17,"reservation_expires_at","timestamp with time zone","pg_catalog","timestamptz","YES",,,,,6,"NO",,"NEVER",
"public","contracts",18,"cancelled_at","timestamp with time zone","pg_catalog","timestamptz","YES",,,,,6,"NO",,"NEVER",
"public","contracts",19,"cancel_reason","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","contracts",20,"version","integer","pg_catalog","int4","NO","1",,32,0,,"NO",,"NEVER",
"public","contracts",21,"spine_version","integer","pg_catalog","int4","NO","2",,32,0,,"NO",,"NEVER",
"public","contracts",22,"legacy_financial","boolean","pg_catalog","bool","NO","false",,,,,"NO",,"NEVER",
"public","contracts",23,"legacy_reason","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","installments",1,"id","uuid","pg_catalog","uuid","NO","gen_random_uuid()",,,,,"NO",,"NEVER",
